Sample1,Reference1,Reference2
FA22:6,FA20:4,PC(16:0/20:4)
FA22:5,FA20:4,PE(16:0/20:4)
FA22:4,FA20:5,PC(16:0/22:5)
FA20:5,FA22:4,PE(16:0/22:5)
FA20:4,FA22:5,PE(16:0/20:4)
FA16:0,FA16:0,PE(P-16:0/20:4)
P-16:0,P-16:0,PE(P-16:0/20:4)
FA18:0,FA18:0,PE(P-16:0/22:6)
P-18:0,P-18:0,PE(P-16:0/22:5)
FA18:1,FA18:1,PE(P-16:0/20:4)
P-18:1,P-18:1,PE(18:0/20:4)
FA18:2,FA18:2,PE(18:0/20:4)
P-20:0,P-20:0,PE(18:0/22:6)
FA20:1,FA20:1,PE(18:0/20:5)
PC(16:0_20:4),PC(16:0/20:4<+2O>),PC(18:0/20:4)
PE(16:0_20:4),PE(16:0/20:4),PE(P-18:0/20:4)
PC(16:0_22:5),PC(16:0/22:5),PE(P-18:0/22:4)
PE(16:0_22:5),PE(16:0/22:5),PE(P-18:0/22:5)
PE(16:0_20:4),PE(16:0/20:4),PE(P-18:0/22:6)
PE(P-16:0_20:4),PE(P-16:0/20:4),PE(P-18:0/22:5)
PE(P-16:0_20:4),PE(P-16:0/20:4),PE(P-18:0/22:4)
PE(P-16:0_22:6),PE(P-16:0/22:6),PE(P-18:0/20:5)
PE(P-16:0_22:5),PE(P-16:0/22:5),PE(P-18:0/20:4)
PE(P-16:0_20:4),PE(P-16:0/20:4),PE(18:1/22:6)
PE(18:0_20:4),PE(18:0/20:4),PE(18:1/22:5)
PE(18:0_20:4),PE(18:0/20:4),PE(18:1/22:4)
PE(18:0_22:6),PE(18:0/22:6),PC(18:1/20:4)
PE(18:0_20:5),PE(18:0/20:5),PE(18:1/20:4)
PC(18:0_20:4),PC(18:0/20:4),PE(P-18:1/20:4)
PE(P-18:0_20:4),PE(P-18:0/20:4),PE(P-18:1/20:5)
PE(P-18:0_22:4),PE(P-18:0/22:4),PE(P-18:1/22:5)
PE(P-18:0_22:5),PE(P-18:0/22:5),PE(P-18:1/22:4)
